unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1734566400,2024-12-19 00:00:00,SOL/USD,206.3961,207.2812,206.1484,207.2812,725.18,150316.180616
1734480000,2024-12-18 00:00:00,SOL/USD,223.2041,225.9134,204.8422,206.7787,49548.87,10245650.925069
1734393600,2024-12-17 00:00:00,SOL/USD,216.3910,228.8887,211.6359,222.9846,53583.80,11948362.20948
1734307200,2024-12-16 00:00:00,SOL/USD,224.1635,227.1300,213.2013,216.2250,70015.14,15139023.646499999
1734220800,2024-12-15 00:00:00,SOL/USD,219.6085,225.3712,215.7399,224.1867,28848.35,6467416.386945
1734134400,2024-12-14 00:00:00,SOL/USD,224.8580,227.3812,215.2419,219.9285,18386.14,4043636.19099
1734048000,2024-12-13 00:00:00,SOL/USD,226.9702,228.4100,220.7500,224.9200,20196.57,4542612.5243999995
1733961600,2024-12-12 00:00:00,SOL/USD,227.3646,234.7645,225.6692,227.0678,33665.27,7644298.795305999
1733875200,2024-12-11 00:00:00,SOL/USD,213.8026,230.6886,211.6748,227.0000,46171.31,10480887.37
1733788800,2024-12-10 00:00:00,SOL/USD,216.5000,221.0348,203.4612,213.7233,58559.55,12515540.272515
1733702400,2024-12-09 00:00:00,SOL/USD,237.2848,237.2848,202.0001,217.0000,121610.15,26389402.549999997
1733616000,2024-12-08 00:00:00,SOL/USD,238.0816,241.4937,233.5000,237.2717,7851.44,1862924.516248
1733529600,2024-12-07 00:00:00,SOL/USD,237.2674,243.6119,235.1536,238.3921,18350.36,4374580.856156
1733443200,2024-12-06 00:00:00,SOL/USD,236.0000,247.0975,231.1791,237.2274,45884.34,10885022.678915998
1733356800,2024-12-05 00:00:00,SOL/USD,229.6699,244.9749,223.5000,236.7075,54590.76,12922042.322700001
1733270400,2024-12-04 00:00:00,SOL/USD,234.2973,240.8907,224.8645,229.5030,72622.17,16667005.881509999
1733184000,2024-12-03 00:00:00,SOL/USD,225.8546,239.8750,215.0094,234.2604,96734.87,22661149.340148
1733097600,2024-12-02 00:00:00,SOL/USD,237.1306,238.2659,220.1820,225.8583,58242.21,13154486.538843
1733011200,2024-12-01 00:00:00,SOL/USD,237.5600,239.8750,234.3359,236.9834,15427.10,3655966.61014
1732924800,2024-11-30 00:00:00,SOL/USD,243.2902,245.2318,237.7032,237.7599,26339.72,6262529.193228
1732838400,2024-11-29 00:00:00,SOL/USD,237.8406,246.8499,236.7000,243.6689,72735.22,17723311.048658002
1732752000,2024-11-28 00:00:00,SOL/USD,242.2368,245.4300,233.0000,237.5661,59735.26,14191072.750686001
1732665600,2024-11-27 00:00:00,SOL/USD,230.6077,243.5101,227.6901,242.4278,72683.16,17620418.575848002
1732579200,2024-11-26 00:00:00,SOL/USD,234.1623,243.3450,221.7900,230.7338,83965.56,19373692.727928
1732492800,2024-11-25 00:00:00,SOL/USD,252.9768,256.8248,231.2178,234.4393,62230.16,14589195.149288
1732406400,2024-11-24 00:00:00,SOL/USD,255.0851,259.9898,241.1046,252.9508,26119.24,6606882.653392
1732320000,2024-11-23 00:00:00,SOL/USD,257.2082,264.1550,253.3137,255.4399,33425.64,8538242.139036
1732233600,2024-11-22 00:00:00,SOL/USD,256.7146,264.5562,251.7701,256.9647,59382.52,15259211.437043998
1732147200,2024-11-21 00:00:00,SOL/USD,235.6818,259.8907,230.0088,256.8102,91006.74,23371459.100748003
1732060800,2024-11-20 00:00:00,SOL/USD,237.8055,242.6832,230.8784,235.7273,57161.09,13474429.410757
1731974400,2024-11-19 00:00:00,SOL/USD,239.8570,247.6345,233.8932,237.9201,61851.03,14715603.242703
1731888000,2024-11-18 00:00:00,SOL/USD,237.4861,248.3540,234.1036,239.8565,82057.77,19682089.510005
1731801600,2024-11-17 00:00:00,SOL/USD,216.0970,242.0000,212.4200,237.5610,99721.39,23689913.12979
1731715200,2024-11-16 00:00:00,SOL/USD,218.4851,221.9765,213.5228,215.7807,17273.19,3727221.0294329994
1731628800,2024-11-15 00:00:00,SOL/USD,209.5412,220.4517,204.7083,218.5572,30831.72,6738494.394384
1731542400,2024-11-14 00:00:00,SOL/USD,214.6736,222.8294,206.9800,209.5800,54875.01,11500704.595800001
1731456000,2024-11-13 00:00:00,SOL/USD,211.8709,220.7999,201.5752,215.4311,63963.37,13779699.158807
1731369600,2024-11-12 00:00:00,SOL/USD,222.4264,225.4129,205.0000,211.8700,62436.52,13228425.4924
1731283200,2024-11-11 00:00:00,SOL/USD,210.2717,224.2772,204.4500,222.4567,84254.53,18742984.703851
1731196800,2024-11-10 00:00:00,SOL/USD,200.0601,215.3910,198.8400,210.6609,56463.96,11894748.631164
1731110400,2024-11-09 00:00:00,SOL/USD,199.9106,203.3975,195.0610,200.2613,21184.43,4242421.491559
1731024000,2024-11-08 00:00:00,SOL/USD,196.7099,205.1234,195.8800,199.9823,48178.50,9634847.24055
1730937600,2024-11-07 00:00:00,SOL/USD,186.7514,198.0875,186.0404,196.2822,32058.46,6292505.057411999
1730851200,2024-11-06 00:00:00,SOL/USD,166.9290,190.0312,166.8342,186.8277,70782.74,13224176.513898
1730764800,2024-11-05 00:00:00,SOL/USD,158.3364,169.3673,156.8600,166.6098,90255.64,15037474.129272
1730678400,2024-11-04 00:00:00,SOL/USD,162.4537,164.8455,155.0831,157.5653,28627.52,4510703.777056
1730592000,2024-11-03 00:00:00,SOL/USD,166.2890,166.4646,157.8401,162.7529,22895.20,3726260.19608
1730505600,2024-11-02 00:00:00,SOL/USD,166.4355,168.4265,162.0806,166.0411,10150.46,1685393.5439059997
1730419200,2024-11-01 00:00:00,SOL/USD,168.5519,173.8435,163.4853,166.2566,30132.26,5009687.097916
1730332800,2024-10-31 00:00:00,SOL/USD,174.8591,176.3955,167.5174,168.2934,23454.50,3947237.5503
1730246400,2024-10-30 00:00:00,SOL/USD,178.8525,181.1560,173.2166,174.8400,13866.36,2424394.3824
1730160000,2024-10-29 00:00:00,SOL/USD,178.2017,183.2718,176.3606,179.4365,40407.74,7250623.43851
1730073600,2024-10-28 00:00:00,SOL/USD,176.5714,179.5622,172.2347,177.8655,34694.62,6170975.933610001
1729987200,2024-10-27 00:00:00,SOL/USD,170.6539,177.9165,170.1660,176.5479,16084.31,2839651.153449
1729900800,2024-10-26 00:00:00,SOL/USD,164.7618,172.9118,162.4200,170.6626,18552.65,3166243.48589
1729814400,2024-10-25 00:00:00,SOL/USD,177.1866,177.4126,159.3282,164.7443,24815.06,4088139.6891580005
1729728000,2024-10-24 00:00:00,SOL/USD,170.6209,179.0419,170.6209,177.1542,28375.57,5026851.402894
1729641600,2024-10-23 00:00:00,SOL/USD,167.5910,174.0000,164.1713,171.1451,33706.53,5768707.4475030005
1729555200,2024-10-22 00:00:00,SOL/USD,166.3901,170.8260,163.2210,167.1592,26643.10,4453639.28152
1729468800,2024-10-21 00:00:00,SOL/USD,167.4287,171.5125,161.3028,166.1216,41610.88,6912465.963008
1729382400,2024-10-20 00:00:00,SOL/USD,159.7773,167.8206,157.8244,167.2927,49700.40,8314514.10708
1729296000,2024-10-19 00:00:00,SOL/USD,154.9788,159.7346,153.6905,159.5871,16878.04,2693517.4572840002
1729209600,2024-10-18 00:00:00,SOL/USD,150.2233,156.5364,149.5840,155.0347,23474.87,3639419.4279889995
1729123200,2024-10-17 00:00:00,SOL/USD,154.9223,155.5742,147.6600,150.4378,20843.26,3135614.179228
1729036800,2024-10-16 00:00:00,SOL/USD,154.7500,158.2133,153.0041,154.1777,19699.84,3037276.021568
1728950400,2024-10-15 00:00:00,SOL/USD,157.6560,159.4228,150.4053,154.7904,33529.89,5190105.085056
1728864000,2024-10-14 00:00:00,SOL/USD,146.8284,158.0000,146.7700,157.2421,33797.40,5314374.15054
1728777600,2024-10-13 00:00:00,SOL/USD,146.5003,148.7562,144.6378,147.5775,8135.22,1200575.42955
1728691200,2024-10-12 00:00:00,SOL/USD,145.9004,147.1903,144.7054,146.3575,9184.21,1344178.0150749998
1728604800,2024-10-11 00:00:00,SOL/USD,138.9508,146.4533,138.6605,145.4190,14058.24,2044335.2025600001
1728518400,2024-10-10 00:00:00,SOL/USD,139.0670,140.6798,135.5805,138.7471,19570.36,2715330.6959559997
1728432000,2024-10-09 00:00:00,SOL/USD,143.3642,145.0968,138.5838,139.2492,17681.83,2462180.6820360003
1728345600,2024-10-08 00:00:00,SOL/USD,144.1734,145.4411,141.2640,143.3398,13647.37,1956211.286326
1728259200,2024-10-07 00:00:00,SOL/USD,146.5253,152.2633,143.5793,143.8906,39729.52,5716704.470512
1728172800,2024-10-06 00:00:00,SOL/USD,142.3616,146.5574,142.0571,146.4731,5630.17,824668.453427
1728086400,2024-10-05 00:00:00,SOL/USD,143.3022,144.8921,141.0999,142.6344,5834.78,832240.344432
1728000000,2024-10-04 00:00:00,SOL/USD,136.7716,144.5495,136.1862,143.0572,30157.27,4314214.605844
1727913600,2024-10-03 00:00:00,SOL/USD,140.3456,142.7433,133.2000,136.8328,31129.14,4259487.387792
1727827200,2024-10-02 00:00:00,SOL/USD,144.9038,148.8576,138.6600,140.2580,33481.30,4696020.175400001
1727740800,2024-10-01 00:00:00,SOL/USD,152.7345,157.2430,142.4198,145.2503,23512.46,3415191.8687380003
1727654400,2024-09-30 00:00:00,SOL/USD,158.2501,159.5133,151.9200,152.5574,13189.84,2012207.696816
1727568000,2024-09-29 00:00:00,SOL/USD,156.7902,161.6341,155.1247,158.7570,16873.14,2678729.08698
1727481600,2024-09-28 00:00:00,SOL/USD,157.8866,159.4133,155.0700,156.8893,11176.42,1753460.710306
1727395200,2024-09-27 00:00:00,SOL/USD,155.6471,161.1594,153.9906,157.7100,37549.05,5921860.675500001
1727308800,2024-09-26 00:00:00,SOL/USD,148.2342,158.1225,146.7532,155.5511,24702.77,3842543.046547
1727222400,2024-09-25 00:00:00,SOL/USD,152.8561,153.4587,147.2896,148.0785,15753.20,2332710.2262
1727136000,2024-09-24 00:00:00,SOL/USD,144.3210,153.8750,143.0611,152.7876,23542.03,3596930.262828
1727049600,2024-09-23 00:00:00,SOL/USD,144.6973,148.9833,142.5088,144.7877,12345.13,1787422.978901
1726963200,2024-09-22 00:00:00,SOL/USD,149.4472,149.4472,141.2586,144.8558,9788.20,1417877.54156
1726876800,2024-09-21 00:00:00,SOL/USD,146.5885,149.8244,144.8800,149.6754,6888.48,1031035.9993919999
1726790400,2024-09-20 00:00:00,SOL/USD,142.9870,152.3154,141.3620,146.5246,42647.17,6248859.525381999
1726704000,2024-09-19 00:00:00,SOL/USD,134.4752,143.9635,134.4337,142.9022,75968.26,10856031.484172
1726617600,2024-09-18 00:00:00,SOL/USD,131.4200,134.1711,127.1129,134.1061,23817.54,3194077.400994
1726531200,2024-09-17 00:00:00,SOL/USD,131.4107,135.6279,130.3188,131.5428,47698.66,6274415.292648001
1726444800,2024-09-16 00:00:00,SOL/USD,131.3843,132.3595,128.8842,131.4161,27863.24,3661678.334164
1726358400,2024-09-15 00:00:00,SOL/USD,137.1978,137.9167,130.4777,131.5105,46408.61,6103219.505405
1726272000,2024-09-14 00:00:00,SOL/USD,139.1200,139.7611,135.6611,137.1329,12526.30,1717767.84527
1726185600,2024-09-13 00:00:00,SOL/USD,136.0490,139.8554,131.8262,139.1689,49285.55,6859015.779395001
1726099200,2024-09-12 00:00:00,SOL/USD,132.4716,136.8090,132.4645,135.9999,22135.81,3010467.946419
1726012800,2024-09-11 00:00:00,SOL/USD,135.3041,135.6858,128.2516,132.4062,20759.73,2748716.962326
1725926400,2024-09-10 00:00:00,SOL/USD,135.1548,137.8919,132.5539,135.4416,35946.21,4868612.196335999
1725840000,2024-09-09 00:00:00,SOL/USD,130.3253,137.0000,126.9888,135.0873,34909.24,4715794.976652
1725753600,2024-09-08 00:00:00,SOL/USD,127.5778,131.5531,126.7139,129.9231,10622.22,1380071.751282
1725667200,2024-09-07 00:00:00,SOL/USD,125.2588,129.4207,124.1306,127.5419,12294.40,1568051.13536
1725580800,2024-09-06 00:00:00,SOL/USD,129.3104,134.1459,120.6276,124.9581,33617.09,4200727.693929
1725494400,2024-09-05 00:00:00,SOL/USD,133.5680,135.4327,127.9356,129.2628,17434.30,2253606.4340399997
1725408000,2024-09-04 00:00:00,SOL/USD,127.5319,134.9013,122.6500,133.5450,34311.39,4582114.57755
1725321600,2024-09-03 00:00:00,SOL/USD,135.0061,137.6421,127.2369,127.5688,27636.06,3525499.010928
1725235200,2024-09-02 00:00:00,SOL/USD,128.8232,135.3247,126.9607,134.9642,81203.30,10959538.42186
1725148800,2024-09-01 00:00:00,SOL/USD,135.2073,136.0611,128.0348,128.7726,36045.54,4641677.904204001
1725062400,2024-08-31 00:00:00,SOL/USD,137.9917,138.6697,134.5513,135.2190,7661.00,1035912.759
1724976000,2024-08-30 00:00:00,SOL/USD,139.9213,141.0941,132.0026,138.0389,30665.76,4233067.778064
1724889600,2024-08-29 00:00:00,SOL/USD,144.7624,147.2555,138.0304,139.7705,22860.06,3195162.01623
1724803200,2024-08-28 00:00:00,SOL/USD,146.6387,148.8805,140.6026,143.9632,41980.90,6043704.702880001
1724716800,2024-08-27 00:00:00,SOL/USD,157.0811,159.6848,144.8898,146.9360,28049.63,4121500.4336800002
1724630400,2024-08-26 00:00:00,SOL/USD,159.7000,161.9276,155.6767,157.1454,21717.77,3412847.653758
1724544000,2024-08-25 00:00:00,SOL/USD,160.3644,162.0000,155.3262,158.7878,16084.48,2554019.193344
1724457600,2024-08-24 00:00:00,SOL/USD,153.4398,162.3580,152.1256,160.7944,20981.60,3373723.7830399997
1724371200,2024-08-23 00:00:00,SOL/USD,143.2422,154.0000,143.0576,152.9342,21400.05,3272799.52671
1724284800,2024-08-22 00:00:00,SOL/USD,143.0279,144.8522,140.7100,143.2751,12920.83,1851233.2103330002
1724198400,2024-08-21 00:00:00,SOL/USD,142.4148,144.4310,139.0021,142.7568,17889.61,2553863.476848
1724112000,2024-08-20 00:00:00,SOL/USD,144.2964,148.9071,141.3307,142.6228,23188.08,3307148.8962240005
1724025600,2024-08-19 00:00:00,SOL/USD,142.2835,146.1717,140.4142,144.3732,13512.54,1950848.639928
1723939200,2024-08-18 00:00:00,SOL/USD,141.8678,147.1114,140.7000,142.6381,11059.96,1577571.680476
1723852800,2024-08-17 00:00:00,SOL/USD,139.0425,141.9500,137.7719,141.6990,7957.67,1127593.88133
1723766400,2024-08-16 00:00:00,SOL/USD,142.6110,144.8599,136.2255,139.0793,17517.45,2436314.683785
1723680000,2024-08-15 00:00:00,SOL/USD,143.7090,147.5656,137.8500,142.5989,21538.20,3071323.62798
1723593600,2024-08-14 00:00:00,SOL/USD,146.6891,151.8431,142.5939,143.7437,29108.08,4184103.1190959997
1723507200,2024-08-13 00:00:00,SOL/USD,146.3625,149.7565,143.0000,146.5814,25611.05,3754103.56447
1723420800,2024-08-12 00:00:00,SOL/USD,142.3328,150.8209,141.5055,146.3934,52388.57,7669340.883438
1723334400,2024-08-11 00:00:00,SOL/USD,153.9666,157.9562,141.2000,141.4073,13317.05,1883128.0844649998
1723248000,2024-08-10 00:00:00,SOL/USD,155.9258,158.3206,152.7800,154.1356,4396.54,677663.3308240001
1723161600,2024-08-09 00:00:00,SOL/USD,163.3010,163.4574,150.8629,155.9743,24515.13,3823730.241159
1723075200,2024-08-08 00:00:00,SOL/USD,145.2440,163.6000,141.5141,163.0079,42920.71,6996414.8036090005
1722988800,2024-08-07 00:00:00,SOL/USD,144.3547,155.0294,142.4400,144.7274,51480.28,7450607.075672
1722902400,2024-08-06 00:00:00,SOL/USD,131.0972,149.4100,131.0972,143.9839,55793.06,8033302.371734
1722816000,2024-08-05 00:00:00,SOL/USD,138.8007,139.0021,109.9400,129.7952,132616.81,17213025.377311997
1722729600,2024-08-04 00:00:00,SOL/USD,142.3232,145.6927,131.2600,138.1441,33422.42,4617110.130722
1722643200,2024-08-03 00:00:00,SOL/USD,153.3546,153.5986,139.7600,142.3280,18548.61,2639986.56408
1722556800,2024-08-02 00:00:00,SOL/USD,167.3191,168.8673,149.8126,152.4084,24690.38,3763021.3111920003
1722470400,2024-08-01 00:00:00,SOL/USD,172.6434,172.8339,157.8100,167.3757,24515.71,4103334.1222469998
1722384000,2024-07-31 00:00:00,SOL/USD,179.1527,184.5874,171.7777,171.8615,24084.25,4139155.331375
1722297600,2024-07-30 00:00:00,SOL/USD,182.5092,184.0276,175.4523,179.1762,19753.38,3539335.565556
1722211200,2024-07-29 00:00:00,SOL/USD,184.9693,193.7283,181.6544,182.5000,34053.51,6214765.575
1722124800,2024-07-28 00:00:00,SOL/USD,183.8657,186.5642,181.1818,184.7106,6734.51,1243935.382806
1722038400,2024-07-27 00:00:00,SOL/USD,182.7501,188.3235,178.0770,183.5900,18454.04,3387977.2036
1721952000,2024-07-26 00:00:00,SOL/USD,171.8604,184.1103,171.8604,183.0097,21319.20,3901620.39624
1721865600,2024-07-25 00:00:00,SOL/USD,178.0221,179.3585,165.6392,171.3129,16089.44,2756328.6257760003
1721779200,2024-07-24 00:00:00,SOL/USD,173.7165,182.3431,171.0391,177.8579,17974.26,3196864.137654
1721692800,2024-07-23 00:00:00,SOL/USD,178.9087,180.2977,170.6294,173.1032,19638.08,3399414.489856
1721606400,2024-07-22 00:00:00,SOL/USD,184.5482,184.5482,177.0000,178.9305,15823.12,2831238.77316
1721520000,2024-07-21 00:00:00,SOL/USD,173.7969,185.0414,171.1717,184.3386,21374.15,3940080.8871900006
1721433600,2024-07-20 00:00:00,SOL/USD,169.2401,175.0690,167.4599,174.2124,9797.85,1706906.96334
1721347200,2024-07-19 00:00:00,SOL/USD,158.8191,172.2519,156.3529,169.1750,13623.93,2304828.3577500004
1721260800,2024-07-18 00:00:00,SOL/USD,155.9175,161.5387,155.2606,159.1441,15096.88,2402579.380408
1721174400,2024-07-17 00:00:00,SOL/USD,160.7083,163.7210,154.8934,155.8647,26089.91,4066495.995177
1721088000,2024-07-16 00:00:00,SOL/USD,159.4975,162.6073,152.6508,160.6615,28962.48,4653155.48052
1721001600,2024-07-15 00:00:00,SOL/USD,147.7798,160.0000,147.1875,159.4682,29369.43,4683490.137126
1720915200,2024-07-14 00:00:00,SOL/USD,142.1280,148.5976,142.1280,147.7457,12688.58,1874683.134106
1720828800,2024-07-13 00:00:00,SOL/USD,139.4260,143.4534,138.1198,142.0316,16191.48,2299701.810768
1720742400,2024-07-12 00:00:00,SOL/USD,135.7760,140.5871,134.0818,139.5299,14137.37,1972585.8223630001
1720656000,2024-07-11 00:00:00,SOL/USD,141.7514,145.9330,135.6751,135.7456,24936.88,3385071.737728
1720569600,2024-07-10 00:00:00,SOL/USD,141.4329,146.0188,138.8200,142.3623,8926.02,1270728.737046
1720483200,2024-07-09 00:00:00,SOL/USD,139.8023,144.1043,136.5392,141.5464,27612.44,3908441.4772159997
1720396800,2024-07-08 00:00:00,SOL/USD,131.6799,141.8320,127.9147,139.8699,28293.64,3957428.597436
1720310400,2024-07-07 00:00:00,SOL/USD,143.2600,143.2600,131.2707,131.3585,13265.06,1742478.38401
1720224000,2024-07-06 00:00:00,SOL/USD,133.6827,144.1028,121.1000,143.0600,16520.67,2363447.0502
1720137600,2024-07-05 00:00:00,SOL/USD,127.9592,136.4257,121.0017,134.2857,52957.30,7111408.10061
1720051200,2024-07-04 00:00:00,SOL/USD,140.7671,142.5178,127.2310,127.2310,45955.04,5846905.69424
1719964800,2024-07-03 00:00:00,SOL/USD,153.8016,154.2350,139.1277,140.6495,27045.89,3803990.9055549996
1719878400,2024-07-02 00:00:00,SOL/USD,146.2496,154.7777,146.0599,153.6796,20070.02,3084352.645592
1719792000,2024-07-01 00:00:00,SOL/USD,146.4460,148.8245,145.9185,146.1753,15576.56,2276908.330968
1719705600,2024-06-30 00:00:00,SOL/USD,140.0401,147.3555,136.9533,146.6369,17253.99,2530071.6062310003
1719619200,2024-06-29 00:00:00,SOL/USD,139.9802,142.7978,139.5722,139.9091,25942.84,3629639.395844
1719532800,2024-06-28 00:00:00,SOL/USD,149.3137,150.4492,138.7793,139.6432,19047.82,2659898.537824
1719446400,2024-06-27 00:00:00,SOL/USD,136.1978,150.8867,135.3675,149.1159,17581.94,2621746.806846
1719360000,2024-06-26 00:00:00,SOL/USD,136.5584,140.2240,134.9148,136.6841,4350.60,594657.8454600001
1719273600,2024-06-25 00:00:00,SOL/USD,132.0946,139.5991,131.5574,136.5546,22812.41,3115139.5225859997
1719187200,2024-06-24 00:00:00,SOL/USD,128.5776,132.4861,122.0000,132.2991,33001.70,4366095.20847
1719100800,2024-06-23 00:00:00,SOL/USD,133.6312,134.9739,128.1686,128.5625,7279.26,935839.86375
1719014400,2024-06-22 00:00:00,SOL/USD,134.6797,136.6209,133.0128,133.6566,8456.98,1130331.193068
1718928000,2024-06-21 00:00:00,SOL/USD,133.4810,135.2704,128.6517,134.4562,21141.28,2842576.1719359998
1718841600,2024-06-20 00:00:00,SOL/USD,135.1100,141.0962,131.8743,133.5107,27518.27,3673983.4904890005
1718755200,2024-06-19 00:00:00,SOL/USD,136.9327,141.7819,134.6163,135.3352,7550.39,1021833.540728
1718668800,2024-06-18 00:00:00,SOL/USD,143.5481,143.6819,127.9000,137.5535,41026.73,5643370.305055001
1718582400,2024-06-17 00:00:00,SOL/USD,151.1322,151.6299,139.8700,143.4258,21075.65,3022791.9617700004
1718496000,2024-06-16 00:00:00,SOL/USD,145.4411,151.1322,143.0711,151.0874,9692.54,1464420.6679960003
1718409600,2024-06-15 00:00:00,SOL/USD,143.0071,145.6138,143.0000,145.3405,6711.46,975446.95213
1718323200,2024-06-14 00:00:00,SOL/USD,147.7796,148.9178,139.7239,142.9932,20093.30,2873205.2655599997
1718236800,2024-06-13 00:00:00,SOL/USD,155.0946,155.0946,146.0232,147.5939,16782.49,2476993.1508110003
1718150400,2024-06-12 00:00:00,SOL/USD,149.3072,161.7612,145.6173,154.9049,40436.90,6263873.95081
1718064000,2024-06-11 00:00:00,SOL/USD,158.9816,159.4303,145.1986,149.3782,29820.79,4454575.932778
1717977600,2024-06-10 00:00:00,SOL/USD,162.1140,162.8254,157.5722,158.7980,13788.67,2189613.2186600002
1717891200,2024-06-09 00:00:00,SOL/USD,157.9311,162.9600,156.7478,162.1273,7647.54,1239875.0118419998
1717804800,2024-06-08 00:00:00,SOL/USD,162.1960,163.7653,157.3801,157.7929,8600.71,1357130.972959
1717718400,2024-06-07 00:00:00,SOL/USD,170.1158,172.6219,153.2101,162.4080,24799.45,4027629.0755999996
1717632000,2024-06-06 00:00:00,SOL/USD,173.2795,174.3174,167.6187,169.9450,9406.08,1598516.2655999998
1717545600,2024-06-05 00:00:00,SOL/USD,171.8478,175.5252,171.3000,173.4337,9688.62,1680333.214494
1717459200,2024-06-04 00:00:00,SOL/USD,164.8732,171.8530,164.4825,171.8405,10985.26,1887712.57103
1717372800,2024-06-03 00:00:00,SOL/USD,162.9955,167.1750,161.7377,164.8652,9350.37,1541550.6201240001
1717286400,2024-06-02 00:00:00,SOL/USD,166.1603,166.9114,161.3749,163.2432,5643.23,921218.923536
1717200000,2024-06-01 00:00:00,SOL/USD,165.5647,167.7754,165.5647,165.8015,3575.68,592853.10752
1717113600,2024-05-31 00:00:00,SOL/USD,166.8000,170.7736,163.8623,165.7641,10475.17,1736407.127397
1717027200,2024-05-30 00:00:00,SOL/USD,168.1435,172.5647,163.5271,166.9000,15225.27,2541097.563
1716940800,2024-05-29 00:00:00,SOL/USD,168.8494,173.6880,167.2218,167.9871,22968.13,3858349.551123
1716854400,2024-05-28 00:00:00,SOL/USD,169.7756,173.0101,164.8685,168.6200,13399.70,2259457.4140000003
